timer,temperature
568,5.275909
569,5.275909
570,5.422302
571,5.275909
572,5.422302
573,5.422302
574,5.422302
575,5.56839
576,5.56839
577,5.422302
578,5.56839
579,5.56839
580,5.422302
581,5.56839
582,5.714111
583,5.56839
584,5.56839
585,5.422302
586,5.422302
587,5.714111
588,5.714111
589,5.714111
590,5.714111
591,5.56839
592,5.422302
593,5.859528
594,5.56839
595,5.714111
596,5.859528
597,5.56839
598,5.714111
599,5.56839
600,5.714111
601,5.56839
602,5.859528
603,5.714111
604,5.56839
605,5.714111
606,5.714111
607,5.422302
608,5.859528
609,5.714111
610,5.714111
611,5.714111
612,5.859528
613,5.714111
614,5.859528
615,5.823212
616,5.714111
617,5.859528
618,5.859528
619,5.714111
620,5.859528
621,5.823212
622,5.859528
623,5.859528
624,5.823212
625,5.56839
626,5.859528
627,5.859528
628,5.714111
629,5.823212
630,5.859528
631,5.859528
632,6.095184
633,5.859528
634,5.859528
635,5.823212
636,5.714111
637,5.859528
638,5.823212
639,5.859528
640,5.859528
641,5.859528
642,5.859528
643,5.859528
644,5.859528
645,5.823212
646,5.823212
647,5.823212
648,5.859528
649,6.095184
650,5.823212
651,6.095184
652,5.823212
653,5.859528
654,5.823212
655,6.095184
656,5.859528
657,5.823212
658,6.095184
659,5.859528
660,5.823212
661,5.823212
662,5.823212
663,5.823212
664,6.095184
665,5.859528
666,5.823212
667,5.823212
668,5.823212
669,6.185608
670,5.823212
671,6.095184
672,5.859528
673,5.859528
674,6.095184
675,6.095184
676,5.823212
677,6.095184
678,6.095184
679,6.185608
680,5.823212
681,5.823212
682,5.823212
683,5.823212
684,6.095184
685,6.095184
686,6.095184
687,6.095184
688,5.823212
689,6.185608
690,6.095184
691,6.185608
692,5.823212
693,6.095184
694,5.823212
695,6.095184
696,6.095184
697,6.095184
698,6.095184
699,5.823212
700,5.823212
701,5.823212
702,5.823212
703,6.095184
704,6.095184
705,6.095184
706,6.275909
707,6.095184
708,5.823212
709,6.095184
710,5.859528
711,5.823212
712,5.823212
713,6.185608
714,6.185608
715,6.095184
716,6.185608
717,6.275909
718,6.095184
719,6.185608
720,6.095184
721,6.095184
722,6.095184
723,5.823212
724,5.823212
725,6.095184
726,6.185608
727,6.185608
728,5.823212
729,6.095184
730,5.823212
731,6.095184
732,5.823212
733,6.095184
734,5.823212
735,6.095184
736,5.823212
737,6.185608
738,6.185608
739,6.095184
740,5.859528
741,6.185608
742,6.185608
743,6.185608
744,6.095184
745,6.185608
746,6.095184
747,6.185608
748,6.185608
749,6.095184
750,6.095184
751,5.823212
752,6.095184
753,6.185608
754,6.095184
755,6.185608
756,6.185608
757,6.095184
758,6.095184
759,5.823212
760,6.185608
761,5.823212
762,6.185608
763,6.275909
764,6.095184
765,6.185608
766,6.185608
767,6.185608
768,6.095184
769,6.185608
770,6.095184
771,6.095184
772,6.185608
773,6.275909
774,6.095184
775,6.095184
776,6.185608
777,6.185608
778,6.185608
779,5.823212
780,5.823212
781,5.823212
782,6.185608
783,6.095184
784,6.095184
785,6.095184
786,6.185608
787,6.095184
788,6.185608
789,6.185608
790,6.275909
791,6.185608
792,6.095184
793,6.185608
794,6.185608
795,6.185608
796,6.185608
797,6.095184
798,6.185608
799,6.185608
800,6.095184
801,5.823212
802,6.185608
803,6.185608
804,6.095184
805,6.095184
806,6.185608
807,6.095184
808,6.275909
809,6.275909
810,6.095184
811,6.185608
812,6.185608
813,6.095184
814,6.275909
815,6.095184
816,6.185608
817,6.095184
818,6.275909
819,6.095184
820,6.095184
821,6.185608
822,6.275909
823,6.095184
824,6.095184
825,6.185608
826,6.275909
827,6.095184
828,6.185608
829,6.095184
830,6.185608
831,6.095184
832,6.185608
833,6.095184
834,6.185608
835,5.823212
836,6.095184
837,6.185608
838,6.095184
839,6.095184
840,5.823212
841,6.185608
842,5.823212
843,6.095184
844,5.823212
845,6.095184
846,6.095184
847,6.095184
848,5.823212
849,5.859528
850,5.823212
851,5.823212
852,6.095184
853,5.823212
854,5.714111
855,6.095184
856,5.823212
857,6.095184
858,5.859528
859,5.823212
860,6.095184
861,5.823212
862,6.095184
863,5.859528
864,5.859528
865,5.823212
866,5.823212
867,5.714111
868,5.859528
869,5.823212
870,5.859528
871,5.823212
872,5.823212
873,5.823212
874,5.823212
875,5.859528
876,5.859528
877,5.823212
878,5.714111
879,5.859528
880,5.714111
881,5.859528
882,5.859528
883,5.859528
884,5.859528
885,5.859528
886,5.823212
887,5.714111
888,5.714111
889,5.859528
890,5.714111
891,5.56839
892,5.859528
893,5.56839
894,5.859528
895,5.56839
896,5.714111
897,5.714111
898,5.56839
899,5.714111
900,5.422302
901,5.422302
902,5.422302
903,5.714111
904,5.714111
905,5.422302
906,5.422302
907,5.56839
908,5.56839
909,5.422302
910,5.153687
911,5.422302
912,5.422302
913,5.275909
914,5.56839
915,5.031189
916,5.56839
917,5.031189
918,5.56839
919,5.422302
920,5.275909
921,5.422302
922,5.275909
923,5.275909
924,5.153687
925,5.153687
926,5.275909
927,5.153687
928,5.275909
929,5.275909
930,5.031189
931,5.031189
932,5.153687
933,5.153687
934,5.031189
935,5.031189
936,5.275909
937,5.422302
938,5.275909
939,5.031189
940,5.275909
941,5.153687
942,5.153687
943,5.031189
944,5.153687
